Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
All Court Hurache-X ,11SIX24,$149.99,PBEFFECT,https://a8qh.short.gy/HXAC,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,6.00,4.13,8.18,121,86%,6.33,49%,245,Very High,2027,55.7,43%,36.0,41%,42%,53.0,Firepower Balanced
All Court Pegasus,11SIX24,$129.99,PBEFFECT,https://a8qh.short.gy/PAC,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,5.50,4.13,8.20,113,35%,7.26,95%,237,Very High,2032,55.2,30%,35.5,23%,26%,43.0,Firepower Control+
All Court Vapor,11SIX24,$129.99,PBEFFECT,https://a8qh.short.gy/VAC,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,5.75,4.13,8.16,117,64%,6.80,79%,241,Very High,2059,55.3,33%,35.4,20%,26%,43.0,Firepower Control+
Alpha Pro Power Hurache-X,11SIX24,$199.99,PBEFFECT,https://a8qh.short.gy/APPE,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,6.00,4.13,8.10,118,71%,6.29,45%,238,,,,,,,,,
Alpha Pro Power Pegasus,11SIX24,$199.99,PBEFFECT,https://a8qh.short.gy/APPP,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.13,8.00,107,6%,7.12,91%,229,,,,,,,,,
Alpha Pro Power Vapor,11SIX24,$199.99,PBEFFECT,https://a8qh.short.gy/APPH,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,Power,16,5.75,4.13,8.00,112,28%,6.76,77%,236,,,,,,,,,
Jelly Bean Hurache-X ,11SIX24,$99.99,PBEFFECT,https://a8qh.short.gy/HJB16,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 1.5,Control,16,6.00,4.13,8.14,122,89%,6.36,51%,242,,,,,,,,,
Jelly Bean Vapor,11SIX24,$99.99,PBEFFECT,https://a8qh.short.gy/JBV,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.75,4.13,8.00,115,49%,6.67,71%,240,,,,,,,,,
Power 2 Hurache X,11SIX24,$209.99,PBEFFECT,https://a8qh.short.gy/p2e,2026,UPA-A,Elongated,Durable Texture,Gen 4,Power,16,5.75,4.13,8.00,117,64%,6.12,32%,241,Very High,2092,57.0,93%,36.9,85%,89%,76.0,Firepower High
Power 2 Pegasus,11SIX24,$209.99,PBEFFECT,https://a8qh.short.gy/p2p,2026,UPA-A,Widebody,Durable Texture,Gen 4,Power,16,6.00,4.13,8.10,110,18%,7.23,93%,236,Very High,2109,56.9,90%,36.6,72%,81%,73.0,Firepower High
Power 2 Vapor,11SIX24,$209.99,PBEFFECT,https://a8qh.short.gy/p2v,2026,UPA-A,Hybrid,Durable Texture,Gen 4,Power,16,5.75,4.13,7.92,111,23%,6.70,74%,236,Very High,2139,56.7,84%,36.9,85%,84%,72.0,Firepower High
Power Hurache-X ,11SIX24,$169.99,PBEFFECT,https://a8qh.short.gy/HXP,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,6.00,4.13,8.15,117,64%,6.40,53%,240,Very High,2033,56.3,68%,36.0,41%,55%,61.0,Firepower Balanced
Power Pegasus,11SIX24,$169.99,PBEFFECT,https://a8qh.short.gy/PP,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.13,8.33,111,23%,7.60,99%,233,Very High,2085,55.8,48%,36.2,51%,50%,56.0,Firepower Balanced
Power Vapor,11SIX24,$169.99,PBEFFECT,https://a8qh.short.gy/VP,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,Power,16,5.75,4.13,8.30,116,57%,7.10,90%,237,Very High,2065,56.0,56%,36.1,46%,51%,58.0,Firepower Balanced
Metalbone EVA 16mm (red no weights),Adidas,$249.00,PBEFFECT,https://a8qh.short.gy/MBE16,2025,Unapproved,Elongated,Paint Grit,Gen 4,Power,16,5.50,4.25,8.30,124,95%,5.63,8%,247,Very High,2085,58.2,100%,37.6,99%,99%,98.0,Firepower Elite
Metalbone PP 14.5mm (no weights),Adidas,$229.00,PBEFFECT,https://a8qh.short.gy/MB14,2025,USAP/UPA-A,Elongated,Paint Grit,Gen 2,All-Court,15,5.50,4.25,8.00,111,23%,5.10,1%,236,Very High,2011,54.1,13%,35.1,15%,14%,25.0,Firepower Soft
Metalbone PP 16mm (no weights),Adidas,$249.00,PBEFFECT,https://a8qh.short.gy/MB16,2025,USAP,Elongated,Paint Grit,Gen 2,Control,16,5.50,4.25,8.10,116,57%,5.26,2%,241,Very High,2086,54.2,15%,35.4,20%,17%,29.0,Firepower Soft
Metalbone Team EVA 16mm (blue),Adidas,$209.00,PBEFFECT,https://a8qh.short.gy/MBT,2025,Unapproved,Elongated,Paint Grit,Gen 4,Power,16,5.50,4.25,7.90,113,35%,5.03,1%,241,High,1978,57.8,99%,37.3,97%,98%,90.0,Firepower Elite
PRO-EDT 14,Adidas,$189.00,Link applies code,https://a8qh.short.gy/edt14,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.50,4.25,8.00,122,89%,6.48,58%,242,Very High,2022,56.5,77%,36.4,62%,69%,66.0,Firepower High
PRO-EDT 16,Adidas,$189.00,Link applies code,https://a8qh.short.gy/edt16,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.50,7.95,126,98%,6.30,46%,246,Very High,2078,57.0,93%,35.8,34%,64%,68.0,Firepower High
PRO-EDT 16 C,Adidas,$189.00,Link applies code,https://a8qh.short.gy/edtc,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.50,8.05,119,78%,7.26,95%,241,Very High,2089,56.4,74%,36.0,41%,57%,62.0,Firepower Balanced
Cyclone,Aireo,$189.00,N/A,https://a8qh.short.gy/cyc,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.67,114,43%,6.41,54%,243,Very High,2054,57.0,93%,37.0,89%,91%,77.0,Firepower High
Baller +,Babolat,$219.99,PBEFFECT,https://a8qh.short.gy/BALLR,2025,USAP,Hybrid,Paint Grit,Gen 2,All-Court,16,5.50,4.13,8.33,113,35%,6.08,29%,234,High,1932,56.0,56%,35.8,34%,45%,55.0,Firepower Balanced
Strkr+,Babolat,$219.99,PBEFFECT,https://a8qh.short.gy/STRKR,2025,USAP,Extra-elongated,Paint Grit,Gen 2/Edgeless,Power,13,5.50,4.00,8.05,120,83%,5.43,4%,240,Low,1815,55.7,43%,36.0,41%,42%,53.0,Firepower Balanced
WZRD,Babolat,$219.99,PBEFFECT,https://a8qh.short.gy/WRZD,2025,USAP,Widebody,Paint Grit,Gen 2,Control,20,5.00,4.13,8.57,109,13%,6.40,53%,226,High,1952,55.8,48%,35.6,27%,38%,51.0,Firepower Balanced
Flik F1 TerraCore XC Elongated,Body Helix,$190.00,PBEFFECT,https://a8qh.short.gy/f1E,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.25,4.25,7.86,114,43%,6.07,28%,240,Very High,2088,57.4,97%,38.0,100%,99%,90.0,Firepower Elite
X2 Lite,Body Helix,$160.00,PBEFFECT,https://a8qh.short.gy/X2Lite,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.25,8.12,123,92%,6.32,48%,245,Low,1842,52.8,2%,33.7,1%,2%,0.0,Firepower Soft
X2 Pro,Body Helix,$180.00,PBEFFECT,https://a8qh.short.gy/X2Pro,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Power,19,6.00,4.25,8.88,134,100%,6.74,76%,246,High,1981,54.9,22%,34.8,8%,15%,34.0,Firepower Soft
X3 Lite,Body Helix,$160.00,PBEFFECT,https://a8qh.short.gy/X3Lite,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.25,8.25,125,97%,6.03,27%,245,Medium,1920,52.8,2%,34.8,8%,5%,6.0,Firepower Soft
X3 Pro,Body Helix,$180.00,PBEFFECT,https://a8qh.short.gy/X3Pro,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Power,18,6.00,4.25,8.73,132,99%,6.65,70%,246,High,1949,54.7,20%,34.2,3%,11%,26.0,Firepower Soft
X4 Gold Kevlar,Body Helix,$140.00,PBEFFECT,https://a8qh.short.gy/X4Gold,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,4.25,8.10,116,57%,6.63,69%,239,High,1972,56.0,56%,36.5,67%,62%,61.0,Firepower Balanced
Fat Boy,Bread & Butter,$189.99,PBEFFECT,https://a8qh.short.gy/fatboy,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.25,8.17,112,28%,7.29,95%,236,High,1935,54.9,22%,36.6,72%,47%,47.0,Firepower Control+
Filth Elongated,Bread & Butter,$165.00,PBEFFECT,https://a8qh.short.gy/FEN,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.60,4.13,8.18,123,92%,6.24,42%,243,Medium,1905,55.8,48%,35.7,31%,40%,52.0,Firepower Balanced
Filth Hybrid,Bread & Butter,$165.00,PBEFFECT,https://a8qh.short.gy/FHN,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,8.07,113,35%,6.77,78%,238,Medium,1908,55.4,34%,35.9,36%,35%,48.0,Firepower Control+
Filth Standard,Bread & Butter,$165.00,PBEFFECT,https://a8qh.short.gy/FSN,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.13,8.26,111,23%,7.47,98%,234,Medium,1919,55.6,40%,35.8,34%,37%,50.0,Firepower Balanced
